characteristic,bin,population_%,bad_rate_%,WoE,points
loan_to_income,"(-inf, 0.08]",12.8,12.47,0.4528,81
loan_to_income,"(0.08, 0.118]",12.2,13.16,0.391,80
loan_to_income,"(0.118, 0.153]",12.5,14.42,0.2846,79
loan_to_income,"(0.153, 0.188]",12.5,15.63,0.1903,78
loan_to_income,"(0.188, 0.229]",12.6,16.96,0.0927,77
loan_to_income,"(0.229, 0.278]",12.6,19.73,-0.0925,75
loan_to_income,"(0.278, 0.346]",12.3,24.26,-0.3575,72
loan_to_income,"(0.346, inf]",12.5,29.95,-0.646,69
loan_to_income,MISSING,0.0,0.0,0.4503,81
revol_util,"(-inf, 21.5]",12.6,11.6,0.5348,90
revol_util,"(21.5, 35.7]",12.5,14.08,0.3127,84
revol_util,"(35.7, 46.5]",12.5,15.71,0.1838,81
revol_util,"(46.5, 56.0]",12.6,17.82,0.0325,77
revol_util,"(56.0, 65.0]",12.4,19.26,-0.0627,74
revol_util,"(65.0, 74.3]",12.5,20.95,-0.1676,71
revol_util,"(74.3, 84.7]",12.4,22.49,-0.2583,69
revol_util,"(84.7, inf]",12.5,24.56,-0.3736,66
revol_util,MISSING,0.1,20.16,-0.1342,72
dti,"(-inf, 6.81]",12.5,12.92,0.4125,81
dti,"(6.81, 10.25]",12.5,14.77,0.2571,79
dti,"(10.25, 13.03]",12.5,15.75,0.1807,78
dti,"(13.03, 15.64]",12.5,16.9,0.0969,77
dti,"(15.64, 18.3]",12.5,17.94,0.0244,76
dti,"(18.3, 21.26]",12.5,20.42,-0.1357,74
dti,"(21.26, 24.89]",12.5,21.66,-0.2103,73
dti,"(24.89, inf]",12.5,26.09,-0.4545,70
annual_inc,"(-inf, 35000.0]",13.1,24.04,-0.3454,65
annual_inc,"(35000.0, 45000.0]",14.3,22.39,-0.2526,68
annual_inc,"(45000.0, 52000.0]",10.2,19.61,-0.085,73
annual_inc,"(52000.0, 61000.0]",12.5,19.31,-0.066,74
annual_inc,"(61000.0, 72000.0]",12.7,17.43,0.0598,78
annual_inc,"(72000.0, 85500.0]",12.3,16.04,0.1591,81
annual_inc,"(85500.0, 110000.0]",13.2,13.92,0.3263,86
annual_inc,"(110000.0, inf]",11.8,13.02,0.403,88
annual_inc,MISSING,0.0,0.0,0.4503,90
term_months,36,79.3,15.41,0.2066,81
term_months,60,20.7,29.38,-0.6189,60
purpose,CAR,1.7,12.77,0.4237,89
purpose,CREDIT_CARD,18.7,15.59,0.1934,82
purpose,DEBT_CONSOLIDATION,56.9,18.9,-0.039,75
purpose,EDUCATIONAL,0.2,23.36,-0.3136,66
purpose,HOME_IMPROVEMENT,6.0,15.15,0.2269,83
purpose,HOUSE,0.7,17.99,0.0182,76
purpose,MAJOR_PURCHASE,2.9,14.49,0.2788,84
purpose,MEDICAL,1.3,21.13,-0.1801,70
purpose,MOVING,0.9,21.55,-0.2051,70
purpose,OTHER,6.3,21.56,-0.2044,70
purpose,RENEWABLE_ENERGY,0.1,17.8,0.0163,76
purpose,SMALL_BUSINESS,2.4,31.78,-0.7321,53
purpose,VACATION,0.7,19.05,-0.0517,74
purpose,WEDDING,1.1,14.41,0.2834,84
verification_status,NOT VERIFIED,36.0,15.2,0.2229,77
verification_status,VERIFIED,64.0,20.05,-0.1128,75
